"country_code","birth_rate","GDP_per_capita","c_section","primary_completion_female_over_male"
"AFG",5.1336,521.18140099238,"2.7",0.655842103866593
"ALB",1.5018,4658.35324284597,"34.1",0.966588400599013
"DZA",3.0306,4601.77327314619,"16.0",1.00988948688056
"ASM",NA,13128.7527533628,NA,NA
"AND",NA,40736.4815616558,NA,0.95582173756202
"AGO",5.6042,2439.65593995391,"3.7",NA
"AIA",NA,NA,NA,NA
"ATA",NA,NA,NA,NA
"ATG",1.4698,17220.4595834541,NA,0.999486973547434
"ARG",2.1486,12590.2394240078,"29.1",1.01421058498873
"ARM",1.5874,4121.70347934882,"18.0",0.983247391964151
"ABW",1.7674,29803.8705259638,NA,NA
"AUS",1.7408,54591.0618049697,"33.3",NA
"AUT",1.494,47693.3412406418,"29.5",0.995457059895079
NA,NA,NA,NA,NA
"AZE",1.826,4614.78700925817,"27.6",0.991431251716038
"BHS",1.4616,30722.8633933872,NA,NA
"BHR",1.9994,24265.8115401885,"28.0",1.00865900336806
"BGD",2.065,1759.42918838308,"30.7",NA
"BRB",1.6168,17968.4355414259,"21.3",1.05010038272811
"BLR",1.5656,5998.03991386277,"27.1",0.982792815499481
"BEL",1.65,44281.2208756854,"21.2",NA
"BLZ",2.3286,6076.63772483586,"34.2",0.997704576285476
"BEN",5.244,1110.41429901357,"5.3",0.895233604875536
"BMU",1.36,109983.197720166,NA,NA
"BTN",1.705,3275.74788936119,"12.4",1.12541553698428
"BOL",2.782,3242.5095029201,"33.4",0.984086105376879
"BIH",1.344,5403.69653271842,"24.0",0.990870179804477
"BWA",2.9136,6525.12179462189,NA,NA
"BVT",NA,NA,NA,NA
"BRA",1.7348,9065.40318630177,"55.5",NA
"IOT",NA,NA,NA,NA
"VGB",0.982,NA,NA,0.999684023679637
"BRN",1.882,29523.8533549034,NA,1.00374301042994
"BGR",1.554,8470.73310947797,"39.1",0.992274031684232
"BFA",5.2008,710.705977375193,"3.7",1.07689450222883
"BDI",5.4828,245.015632844841,"4.0",1.17094456223633
"KHM",2.4744,1411.48988736462,"6.3",1.074776282215
"CMR",4.7482,1487.4993711505,"2.4",0.894979745330744
"CAN",1.544,44785.9858608892,"27.9",NA
"CPV",2.0454,3555.9248689232,NA,1.01436362274668
"BES",NA,NA,NA,NA
"CYM",NA,82497.4667681185,NA,1.29280554221546
"CAF",6.0336,400.219316573839,"4.5",0.690859710631574
"TCD",6.5484,710.235091193935,"1.4",0.69486978458322
"CHL",1.624,14565.1792556312,"49.6",0.990852066412941
"CHN",1.661,8995.42959484097,"34.9",NA
"CXR",NA,NA,NA,NA
"CCK",NA,NA,NA,NA
"COL",1.8152,6366.68615313876,"45.8",0.994319551994855
"COM",4.273,1427.38496592248,"9.6",1.01086741750642
"COG",4.4294,2402.95858948311,"4.9",1.07472293656625
